symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income
V,Visa Inc.,Financial Services,Credit Services,0.0689,0.803,0.853,0.5,0.778,1.0,-4.93,6.37,14.64,8,A,0,49.33368,334.44,52.91,20.13,0.66,1.08,80.36,66.39,50.14,3.71,21577000000.0,40000000000.0,20058000000.0
UNH,United Health Group Inc.,Healthcare,Healthcare Plans,0.0689,0.763,0.837,0.5,0.797,0.75,6.42,-34.64,27.95,9,A,0,49.1888,329.76999,14.86,5.11,0.75,0.83,22.33,8.07,3.81,0.87,20705000000.0,400278000000.0,15242000000.0
BRK.B,Berkshire Hathaway CL B,Financial Services,Insurance - Diversified,0.0689,0.673,0.636,0.5,0.646,1.0,2.15,13.9,14.07,6,B,0,65.91148,513.81,13.74,7.76,0.19,2.72,,41.1,21.11,4.47,11616000000.0,424232000000.0,89561000000.0
UNP,Union Pacific,Industrials,Railroads,0.0689,0.657,0.567,0.5,0.768,0.9,3.69,1.18,16.71,5,C,0,65.22229,231.83,39.95,9.96,1.92,0.77,45.52,40.05,27.82,14.24,5894000000.0,24250000000.0,6747000000.0
SCHW,Charles Schwab Corp.,Financial Services,Capital Markets,0.0689,0.535,0.377,0.5,0.622,0.9,-3.24,25.58,16.87,4,C,0,48.10128,92.73,12.28,1.24,0.93,0.59,,49.24,30.31,3.16,2050000000.0,19606000000.0,5942000000.0
TSM,Taiwan Semiconductor S.A.,Technology,Semiconductors,0.0627,0.665,0.551,0.5,0.767,1.0,26.27,44.61,25.86,6,B,0,53.84911,291.51001,27.05,17.3,0.24,2.36,56.12,45.68,39.99,33.0,27424770697.0,92169228706.0,36861348595.0
MSFT,Microsoft Corp.,Technology,Software - Infrastructure,0.06,0.717,0.714,0.5,0.681,1.0,-2.9,17.54,21.2,7,B,0,44.96135,492.01001,29.65,16.45,0.18,1.35,68.82,45.62,36.15,22.91,71611000000.0,281724000000.0,101832000000.0
CPRT,Copart Inc.,Industrials,Specialty Business Services,0.0525,0.478,0.381,0.5,0.327,1.0,-20.14,-30.79,26.01,4,C,0,28.88969,38.98,16.82,15.34,0.01,8.42,45.18,36.51,33.32,11.56,1230760000.0,4646958000.0,1548363000.0
CP,Canadian Pacific Kansas City,Industrials,Railroads,0.0513,0.548,0.371,0.5,0.713,0.85,-4.75,-1.51,18.88,4,C,0,54.23455,72.57,7.59,4.23,0.47,0.6,35.6,35.6,25.53,19.24,1722070440.0,10411154040.0,2657542620.0
ELV,Elevance Health Inc.,Healthcare,Healthcare Plans,0.0464,0.642,0.499,0.5,0.859,0.85,6.15,-7.54,31.42,4,C,0,57.64844,338.26001,14.41,5.11,0.75,1.56,,3.46,3.38,0.71,4552000000.0,176810000000.0,5971000000.0
INTU,Intuit Inc.,Technology,Software - Application,0.046,0.574,0.394,0.5,0.717,0.95,-4.94,1.81,25.16,4,C,0,41.34454,634.080017,19.63,10.47,0.34,1.36,79.57,26.22,20.55,0.45,6083000000.0,18831000000.0,3869000000.0
ADBE,Adobe Inc.,Technology,Software - Application,0.0414,0.498,0.372,0.5,0.421,1.0,-10.25,-27.41,30.51,4,C,0,40.86525,320.13,39.42,18.39,0.43,1.07,89.04,36.0,25.85,0.85,7873000000.0,21505000000.0,5560000000.0
PBH,Prestige Consumer Healthcare,Healthcare,Drug Manufacturers - Specialty & Generic,0.0305,0.516,0.402,0.5,0.442,1.0,-12.48,-23.38,20.59,3,C,0,46.08642,59.55,11.7,6.31,0.57,4.2,55.76,30.7,18.86,0.72,243291000.0,1137762000.0,214605000.0
NVDA,NVIDIA Corp.,Technology,Semiconductors,0.0288,0.771,0.786,0.5,0.768,1.0,1.62,27.97,41.09,8,A,0,41.48276,177.0,91.87,65.3,0.13,4.44,74.99,62.42,55.85,2.48,60853000000.0,130497000000.0,72880000000.0
FICO,Fair Isaac Corp.,Technology,Software - Application,0.0287,0.522,0.367,0.5,0.856,0.45,18.68,-9.52,38.54,3,C,0,60.15972,1805.82996,-37.34,34.9,,0.83,82.23,47.0,32.75,0.45,739400000.0,1990869000.0,651946000.0
KD,Kyndryl Holdings Inc,Technology,Information Technology Services,0.0272,0.453,0.36,0.5,0.473,0.65,-18.75,-27.28,35.93,3,C,0,47.089217,25.83,18.84,2.4,2.97,1.07,20.87,3.67,1.67,0.55,337000000.0,15057000000.0,251000000.0
FERG,Ferguson Enterprises Inc.,Industrials,Industrial Distribution,0.0265,0.547,0.373,0.5,0.678,0.9,8.88,45.16,26.23,4,C,0,59.23155,251.67,31.82,10.47,1.02,1.68,30.67,8.73,6.03,,1603000000.0,30762000000.0,1856000000.0
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,0.0235,0.578,0.365,0.5,0.783,0.95,-9.05,0.67,22.61,4,C,0,54.8346,498.82999,11.11,6.92,0.32,0.85,69.09,38.56,29.33,0.19,5565000000.0,14208000000.0,4167000000.0
