symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income,score_value,score_risk,buffett_score
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,0.1209,0.5869,0.286,0.5,0.5,0.485,-0.23,1.43,14.64,0,D,0,57.69004,92.69,20.71,6.08,0.13,0.56,,30.69,25.47,0.3,6622000000.0,16930000000.0,4312000000.0,0.62,0.5,0.535
AFL,Aflac Inc.,Financial Services,Insurance - Life,0.1117,0.6057,0.286,0.5,0.6,0.445,1.96,6.32,16.15,0,D,0,42.60036,108.83,20.86,4.63,0.29,1.09,,43.27,28.46,,2707000000.0,19128000000.0,5443000000.0,0.7,0.46,0.535
BLK,BlackRock Inc.,Financial Services,Asset Management,0.089,0.6664,0.286,0.5,0.5,0.485,-5.54,2.09,19.4,0,D,0,41.96118,1038.62,13.19,4.7,0.29,16.4,49.42,36.94,31.91,1.25,4701000000.0,20407000000.0,6512000000.0,0.7,0.415,0.533
BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,0.0835,0.5938,0.286,0.5,0.5,0.485,-8.89,0.34,17.02,0,D,0,51.19448,227.61,31.62,9.82,1.3,0.98,31.02,17.25,12.19,,1056400000.0,6889100000.0,839500000.0,0.7,0.355,0.513
ADSK,Autodesk Inc.,Technology,Software - Application,0.0817,0.6132,0.286,0.5,0.38,0.485,-2.29,5.77,22.2,0,D,0,61.4362,310.25,42.43,10.26,0.98,0.68,90.57,22.33,18.14,,1505000000.0,6131000000.0,1112000000.0,0.7,0.415,0.533
AAPL,Apple Inc.,Technology,Consumer Electronics,0.0802,0.6853,0.286,0.5,0.42,0.485,20.01,17.36,15.67,0,D,0,75.17935,286.19,151.91,31.18,1.34,0.89,46.91,31.97,26.92,3.06,98767000000.0,416161000000.0,112010000000.0,0.7,0.46,0.548
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,0.0733,0.622,0.286,0.5,0.4,0.485,-13.95,-11.21,23.75,0,D,0,45.27967,257.17999,65.93,7.64,1.46,1.05,46.03,26.32,19.84,0.05,4392700000.0,20560900000.0,4079700000.0,0.7,0.415,0.533
ABT,Abbott Laboratories,Healthcare,Medical Devices,0.0709,0.6664,0.286,0.5,0.5,0.485,-4.43,11.35,18.96,0,D,0,45.31133,126.32,27.98,16.46,0.31,1.67,55.41,16.27,31.95,5.26,6351000000.0,41950000000.0,13402000000.0,0.7,0.415,0.533
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,0.0662,0.7208,0.286,0.5,0.5,0.485,-9.94,-13.81,24.4,0,D,0,48.11652,456.79001,65.05,1.87,1.05,2.43,,37.3,19.7,1.02,6419000000.0,17264000000.0,3401000000.0,0.7,0.46,0.548
ACN,Accenture plc,Technology,Information Technology Services,0.0595,0.6635,0.286,0.5,0.48,0.485,2.7,-25.17,27.14,0,D,0,63.41263,261.019989,24.29,11.98,0.25,1.42,31.91,14.68,11.24,0.86,10874360000.0,69672977000.0,7832400000.0,0.7,0.42,0.535
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,0.037,0.5614,0.286,0.5,0.5,0.445,-6.82,-2.03,23.25,0,D,0,49.22379,65.96,28.33,16.47,0.12,1.55,38.14,18.77,13.98,,473800000.0,3818100000.0,533600000.0,0.7,0.46,0.535
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,0.0283,0.9392,0.581,0.5,0.5,0.485,-8.02,4.26,32.07,3,C,0,57.43662,5135.069824,-1.46,21.23,,1.31,,31.83,24.78,1.81,7894000000.0,23739000000.0,5882000000.0,0.7,0.375,0.52
ADBE,Adobe Inc.,Technology,Software - Application,0.0277,1.0252,0.61,0.5,0.5,0.485,-7.37,-26.8,26.15,4,C,0,43.66123,322.81,39.42,18.39,0.43,1.07,89.04,36.0,25.85,0.85,7873000000.0,21505000000.0,5560000000.0,0.7,0.42,0.535
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,0.018,0.9558,0.915,0.5,0.6,0.405,3.73,6.45,41.24,8,A,0,53.41553,234.42,20.72,9.48,0.46,1.06,48.85,10.75,9.29,12.17,32878000000.0,637959000000.0,59248000000.0,0.7,0.315,0.473
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,0.0159,0.6131,0.286,0.5,0.53,0.485,14.04,-27.61,36.9,0,D,0,67.74383,150.92999,10.94,6.78,0.03,1.22,70.0,16.8,10.54,2.89,622651000.0,3999012000.0,421362000.0,0.7,0.36,0.515
ADI,"Analog Devices, Inc.",Technology,Semiconductors,0.0149,0.4878,0.286,0.5,0.37,0.485,11.62,29.16,34.34,0,D,0,73.12691,272.97,6.7,4.72,0.26,2.19,61.47,27.25,20.58,4.31,4278650000.0,11019707000.0,2267342000.0,0.7,0.315,0.5
APH,Amphenol Corporation,Technology,Electronic Components,0.0147,0.4021,0.286,0.5,0.7,0.445,27.83,105.03,36.85,0,D,0,59.40326,141.49001,24.77,11.39,0.7,2.37,33.76,21.58,16.04,0.05,2149300000.0,15222700000.0,2441600000.0,0.7,0.255,0.467
AVGO,Broadcom Inc.,Technology,Semiconductors,0.0064,0.9543,0.73,0.5,0.7,0.485,26.18,64.48,48.77,4,C,0,57.57546,381.57001,8.71,3.56,1.0,1.17,63.03,29.08,11.43,1.06,19414000000.0,51574000000.0,5895000000.0,0.7,0.18,0.455
