symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income,score_value,score_risk,buffett_score
V,Visa Inc. Class A,Financial Services,Credit Services,0.12,1.1324,0.914,0.5,0.28,0.485,-12.42,-12.95,22.65,8,A,0,34.38453,301.62,52.91,20.13,0.66,1.08,80.36,66.39,50.14,3.71,21577000000.0,40000000000.0,20058000000.0,0.5,0.46,0.482
UNP,Union Pacific Corporation,Industrials,Railroads,0.12,0.9315,0.824,0.5,0.42,0.485,-0.77,1.3,19.24,5,C,0,28.57631,234.92,38.65,10.24,1.78,0.91,45.78,40.17,29.12,,5499000000.0,24510000000.0,7138000000.0,0.5,0.355,0.447
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,0.0969,0.9416,0.662,0.5,0.6,0.485,1.44,-4.49,22.46,5,C,0,41.30993,301.0,31.83,22.2,0.14,2.01,59.65,32.03,32.81,22.7,73266000000.0,402836000000.0,132170000000.0,0.5,0.46,0.482
PG,Procter & Gamble Co,Consumer Defensive,Household & Personal Products,0.067,0.7303,0.606,0.5,0.38,0.485,-2.39,1.76,22.68,4,C,0,30.8846,144.28,30.73,12.83,0.68,0.7,51.16,24.26,19.06,,14044000000.0,84284000000.0,16065000000.0,0.5,0.415,0.467
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,0.0667,0.497,0.286,0.5,0.5,0.485,-1.53,-1.91,7.3,0,D,0,49.54806,200.50999,17.55,9.06,0.31,0.95,79.32,21.13,15.02,,1858000000.0,7463000000.0,1121000000.0,0.5,0.5,0.495
META,Meta Platforms Inc Class A,Communication Services,Internet Content & Information,0.0549,1.0268,0.842,0.5,0.38,0.485,-8.6,-8.73,26.21,8,A,0,32.48684,593.65997,27.83,16.52,0.39,2.6,82.0,41.44,30.08,34.68,46109000000.0,200966000000.0,60458000000.0,0.5,0.42,0.468
MSFT,Microsoft Corp.,Technology,Software - Infrastructure,0.0536,1.0538,0.85,0.5,0.28,0.485,-19.8,-19.26,22.89,7,B,0,32.126,381.87,29.65,16.45,0.18,1.35,68.82,45.62,36.15,22.91,71611000000.0,281724000000.0,101832000000.0,0.5,0.46,0.482
BRK.B,Berkshire Hathaway Inc. Class B,Financial Services,Insurance - Diversified,0.0535,0.6443,0.801,0.5,0.38,0.405,-4.63,-3.2,20.14,6,B,0,38.79429,480.94,9.35,5.5,0.18,7.07,,32.96,16.38,5.1,25042000000.0,410522000000.0,67260000000.0,0.5,0.415,0.44
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,0.048,0.5318,0.631,0.5,0.42,0.445,-7.45,-7.42,21.59,3,C,0,23.1902,303.53,55.86,9.92,2.81,0.87,48.85,16.11,10.9,,2654000000.0,23574300000.0,2568500000.0,0.5,0.355,0.433
TRV,"Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,0.0442,0.4798,0.286,0.5,0.6,0.485,1.83,4.0,17.13,0,D,0,43.17957,296.60001,19.12,4.38,0.28,0.36,,25.89,12.88,,10606000000.0,48828000000.0,6288000000.0,0.5,0.46,0.482
