symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income
V,Visa Inc.,Financial Services,Credit Services,0.0695,0.802,0.853,0.5,0.773,1.0,-4.59,6.17,15.75,8,A,0,48.44926,333.79001,52.91,20.13,0.66,1.08,80.36,66.39,50.14,3.71,21577000000.0,40000000000.0,20058000000.0
BRK.B,Berkshire Hathaway CL B,Financial Services,Insurance - Diversified,0.0695,0.676,0.636,0.5,0.661,1.0,2.27,13.33,14.14,6,B,0,63.87172,511.23001,13.74,7.76,0.19,2.72,,41.1,21.11,4.47,11616000000.0,424232000000.0,89561000000.0
UNP,Union Pacific,Industrials,Railroads,0.0695,0.66,0.567,0.5,0.779,0.9,3.74,0.67,16.83,5,C,0,63.63572,230.66,39.95,9.96,1.92,0.77,45.52,40.05,27.82,14.24,5894000000.0,24250000000.0,6747000000.0
SCHW,Charles Schwab Corp.,Financial Services,Capital Markets,0.0695,0.539,0.377,0.5,0.639,0.9,-5.45,24.32,16.76,4,C,0,43.60116,91.8,12.28,1.24,0.93,0.59,,49.24,30.31,3.16,2050000000.0,19606000000.0,5942000000.0
UNH,United Health Group Inc.,Healthcare,Healthcare Plans,0.0685,0.763,0.837,0.5,0.797,0.75,9.07,-34.65,27.95,9,A,0,49.14232,329.70999,14.86,5.11,0.75,0.83,22.33,8.07,3.81,0.87,20705000000.0,400278000000.0,15242000000.0
TSM,Taiwan Semiconductor S.A.,Technology,Semiconductors,0.0625,0.666,0.551,0.5,0.773,1.0,21.69,43.84,26.18,6,B,0,52.63915,289.95999,27.05,17.3,0.24,2.36,56.12,45.68,39.99,33.0,27460940908.0,92290789629.0,36909964599.0
MSFT,Microsoft Corp.,Technology,Software - Infrastructure,0.0607,0.721,0.714,0.5,0.699,1.0,-4.74,15.99,20.8,7,B,0,40.010672,485.5,29.65,16.45,0.18,1.35,68.82,45.62,36.15,22.91,71611000000.0,281724000000.0,101832000000.0
INTU,Intuit Inc.,Technology,Software - Application,0.057,0.541,0.394,0.5,0.586,0.95,-5.85,1.02,25.95,4,C,0,38.9292,629.13,19.63,10.47,0.34,1.36,79.57,26.22,20.55,0.45,6083000000.0,18831000000.0,3869000000.0
CPRT,Copart Inc.,Industrials,Specialty Business Services,0.0514,0.477,0.381,0.5,0.322,1.0,-20.51,-31.2,26.03,4,C,0,26.22481,38.75,16.82,15.34,0.01,8.42,45.18,36.51,33.32,11.56,1230760000.0,4646958000.0,1548363000.0
CP,Canadian Pacific Kansas City,Industrials,Railroads,0.0487,0.543,0.371,0.5,0.696,0.85,-5.48,-2.16,19.26,4,C,0,51.87753,72.089996,7.59,4.23,0.47,0.6,35.6,35.6,25.53,19.24,1715453940.0,10371152540.0,2647331870.0
ELV,Elevance Health Inc.,Healthcare,Healthcare Plans,0.0456,0.642,0.499,0.5,0.86,0.85,9.06,-7.47,31.42,4,C,0,57.86213,338.51999,14.41,5.11,0.75,1.56,,3.46,3.38,0.71,4552000000.0,176810000000.0,5971000000.0
ADBE,Adobe Inc.,Technology,Software - Application,0.0398,0.466,0.372,0.5,0.294,1.0,-10.29,-28.0,30.64,4,C,0,38.09375,317.51999,39.42,18.39,0.43,1.07,89.04,36.0,25.85,0.85,7873000000.0,21505000000.0,5560000000.0
